year,age,area,gender,event,value
2013,63,Всего по республике,male,arrive,90
2013,64,Всего по республике,both,arrive,182
2013,64,Всего по республике,female,arrive,109
2013,64,Всего по республике,male,arrive,73
2013,65,Всего по республике,both,arrive,122
2013,65,Всего по республике,female,arrive,68
2013,65,Всего по республике,male,arrive,54
2013,66,Всего по республике,both,arrive,147
2013,66,Всего по республике,female,arrive,90
2013,66,Всего по республике,male,arrive,57
2013,67,Всего по республике,both,arrive,68
2013,67,Всего по республике,female,arrive,32
2013,67,Всего по республике,male,arrive,36
2013,68,Всего по республике,both,arrive,53
2013,68,Всего по республике,female,arrive,33
2013,68,Всего по республике,male,arrive,20
2013,69,Всего по республике,both,arrive,42
2013,69,Всего по республике,female,arrive,25
2013,69,Всего по республике,male,arrive,17
2013,70,Всего по республике,both,arrive,41
2013,70,Всего по республике,female,arrive,30
2013,70,Всего по республике,male,arrive,11
2013,71,Всего по республике,both,arrive,86
2013,71,Всего по республике,female,arrive,64
2013,71,Всего по республике,male,arrive,22
2013,72,Всего по республике,both,arrive,81
2013,72,Всего по республике,female,arrive,58
2013,72,Всего по республике,male,arrive,23
2013,73,Всего по республике,both,arrive,98
2013,73,Всего по республике,female,arrive,63
2013,73,Всего по республике,male,arrive,35
2013,74,Всего по республике,both,arrive,118
2013,74,Всего по республике,female,arrive,79
2013,74,Всего по республике,male,arrive,39
2013,75,Всего по республике,both,arrive,79
2013,75,Всего по республике,female,arrive,58
2013,75,Всего по республике,male,arrive,21
2013,76,Всего по республике,both,arrive,114
2013,76,Всего по республике,female,arrive,92
2013,76,Всего по республике,male,arrive,22
2013,77,Всего по республике,both,arrive,72
2013,77,Всего по республике,female,arrive,50
2013,77,Всего по республике,male,arrive,22
2013,78,Всего по республике,both,arrive,68
2013,78,Всего по республике,female,arrive,51
2013,78,Всего по республике,male,arrive,17
2013,79,Всего по республике,both,arrive,68
2013,79,Всего по республике,female,arrive,45
2013,79,Всего по республике,male,arrive,23
2013,80,Всего по республике,both,arrive,584
2013,80,Всего по республике,female,arrive,489
2013,80,Всего по республике,male,arrive,95
2014,0,Всего по республике,both,arrive,523
2014,0,Всего по республике,female,arrive,251
2014,0,Всего по республике,male,arrive,272
2014,1,Всего по республике,both,arrive,747
2014,1,Всего по республике,female,arrive,364
2014,1,Всего по республике,male,arrive,383
2014,2,Всего по республике,both,arrive,724
2014,2,Всего по республике,female,arrive,344
2014,2,Всего по республике,male,arrive,380
2014,3,Всего по республике,both,arrive,549
2014,3,Всего по республике,female,arrive,274
2014,3,Всего по республике,male,arrive,275
2014,4,Всего по республике,both,arrive,568
2014,4,Всего по республике,female,arrive,284
2014,4,Всего по республике,male,arrive,284
2014,5,Всего по республике,both,arrive,524
2014,5,Всего по республике,female,arrive,264
2014,5,Всего по республике,male,arrive,260
2014,6,Всего по республике,both,arrive,684
2014,6,Всего по республике,female,arrive,347
2014,6,Всего по республике,male,arrive,337
2014,7,Всего по республике,both,arrive,548
2014,7,Всего по республике,female,arrive,262
2014,7,Всего по республике,male,arrive,286
2014,8,Всего по республике,both,arrive,342
2014,8,Всего по республике,female,arrive,171
2014,8,Всего по республике,male,arrive,171
2014,9,Всего по республике,both,arrive,349
2014,9,Всего по республике,female,arrive,181
2014,9,Всего по республике,male,arrive,168
2014,10,Всего по республике,both,arrive,355
2014,10,Всего по республике,female,arrive,175
2014,10,Всего по республике,male,arrive,180
2014,11,Всего по республике,both,arrive,280
2014,11,Всего по республике,female,arrive,144
2014,11,Всего по республике,male,arrive,136
2014,12,Всего по республике,both,arrive,267
2014,12,Всего по республике,female,arrive,133
2014,12,Всего по республике,male,arrive,134
2014,13,Всего по республике,both,arrive,240
2014,13,Всего по республике,female,arrive,106
2014,13,Всего по республике,male,arrive,134
2014,14,Всего по республике,both,arrive,294
2014,14,Всего по республике,female,arrive,145
2014,14,Всего по республике,male,arrive,149
2014,15,Всего по республике,both,arrive,597
2014,15,Всего по республике,female,arrive,311
2014,15,Всего по республике,male,arrive,286
2014,16,Всего по республике,both,arrive,1650
2014,16,Всего по республике,female,arrive,838
2014,16,Всего по республике,male,arrive,812
2014,17,Всего по республике,both,arrive,1593
2014,17,Всего по республике,female,arrive,906
2014,17,Всего по республике,male,arrive,687
2014,18,Всего по республике,both,arrive,2194
2014,18,Всего по республике,female,arrive,1299
2014,18,Всего по республике,male,arrive,895
2014,19,Всего по республике,both,arrive,1488
2014,19,Всего по республике,female,arrive,981
2014,19,Всего по республике,male,arrive,507
2014,20,Всего по республике,both,arrive,1537
2014,20,Всего по республике,female,arrive,939
2014,20,Всего по республике,male,arrive,598
2014,21,Всего по республике,both,arrive,1117
2014,21,Всего по республике,female,arrive,665
2014,21,Всего по республике,male,arrive,452
2014,22,Всего по республике,both,arrive,1255
2014,22,Всего по республике,female,arrive,784
2014,22,Всего по республике,male,arrive,471
2014,23,Всего по республике,both,arrive,1262
2014,23,Всего по республике,female,arrive,781
2014,23,Всего по республике,male,arrive,481
2014,24,Всего по республике,both,arrive,1366
2014,24,Всего по республике,female,arrive,841
2014,24,Всего по республике,male,arrive,525
2014,25,Всего по республике,both,arrive,1358
2014,25,Всего по республике,female,arrive,835
2014,25,Всего по республике,male,arrive,523
2014,26,Всего по республике,both,arrive,1459
2014,26,Всего по республике,female,arrive,890
2014,26,Всего по республике,male,arrive,569
2014,27,Всего по республике,both,arrive,1459
2014,27,Всего по республике,female,arrive,842
2014,27,Всего по республике,male,arrive,617
2014,28,Всего по республике,both,arrive,1355
2014,28,Всего по республике,female,arrive,784
2014,28,Всего по республике,male,arrive,571
2014,29,Всего по республике,both,arrive,1285
2014,29,Всего по республике,female,arrive,718
2014,29,Всего по республике,male,arrive,567
2014,30,Всего по республике,both,arrive,1124
2014,30,Всего по республике,female,arrive,652
2014,30,Всего по республике,male,arrive,472
2014,31,Всего по республике,both,arrive,1018
2014,31,Всего по республике,female,arrive,562
2014,31,Всего по республике,male,arrive,456
2014,32,Всего по республике,both,arrive,866
2014,32,Всего по республике,female,arrive,473
2014,32,Всего по республике,male,arrive,393
2014,33,Всего по республике,both,arrive,849
2014,33,Всего по республике,female,arrive,443
2014,33,Всего по республике,male,arrive,406
2014,34,Всего по республике,both,arrive,753
2014,34,Всего по республике,female,arrive,381
2014,34,Всего по республике,male,arrive,372
2014,35,Всего по республике,both,arrive,682
2014,35,Всего по республике,female,arrive,357
2014,35,Всего по республике,male,arrive,325
2014,36,Всего по республике,both,arrive,610
2014,36,Всего по республике,female,arrive,307
2014,36,Всего по республике,male,arrive,303
2014,37,Всего по республике,both,arrive,540
2014,37,Всего по республике,female,arrive,265
2014,37,Всего по республике,male,arrive,275
2014,38,Всего по республике,both,arrive,522
2014,38,Всего по республике,female,arrive,246
2014,38,Всего по республике,male,arrive,276
2014,39,Всего по республике,both,arrive,437
2014,39,Всего по республике,female,arrive,219
2014,39,Всего по республике,male,arrive,218
2014,40,Всего по республике,both,arrive,401
2014,40,Всего по республике,female,arrive,203
2014,40,Всего по республике,male,arrive,198
2014,41,Всего по республике,both,arrive,377
2014,41,Всего по республике,female,arrive,187
2014,41,Всего по республике,male,arrive,190
2014,42,Всего по республике,both,arrive,370
2014,42,Всего по республике,female,arrive,169
2014,42,Всего по республике,male,arrive,201
2014,43,Всего по республике,both,arrive,315
2014,43,Всего по республике,female,arrive,134
2014,43,Всего по республике,male,arrive,181
2014,44,Всего по республике,both,arrive,317
2014,44,Всего по республике,female,arrive,148
2014,44,Всего по республике,male,arrive,169
2014,45,Всего по республике,both,arrive,290
2014,45,Всего по республике,female,arrive,144
2014,45,Всего по республике,male,arrive,146
2014,46,Всего по республике,both,arrive,260
2014,46,Всего по республике,female,arrive,124
2014,46,Всего по республике,male,arrive,136
2014,47,Всего по республике,both,arrive,278
2014,47,Всего по республике,female,arrive,140
2014,47,Всего по республике,male,arrive,138
2014,48,Всего по республике,both,arrive,281
2014,48,Всего по республике,female,arrive,132
2014,48,Всего по республике,male,arrive,149
2014,49,Всего по республике,both,arrive,281
2014,49,Всего по республике,female,arrive,141
2014,49,Всего по республике,male,arrive,140
2014,50,Всего по республике,both,arrive,291
2014,50,Всего по республике,female,arrive,143
2014,50,Всего по республике,male,arrive,148
2014,51,Всего по республике,both,arrive,261
2014,51,Всего по республике,female,arrive,141
2014,51,Всего по республике,male,arrive,120
2014,52,Всего по республике,both,arrive,336
2014,52,Всего по республике,female,arrive,172
2014,52,Всего по республике,male,arrive,164
2014,53,Всего по республике,both,arrive,304
2014,53,Всего по республике,female,arrive,156
2014,53,Всего по республике,male,arrive,148
2014,54,Всего по республике,both,arrive,315
2014,54,Всего по республике,female,arrive,165
2014,54,Всего по республике,male,arrive,150
2014,55,Всего по республике,both,arrive,333
2014,55,Всего по республике,female,arrive,194
2014,55,Всего по республике,male,arrive,139
2014,56,Всего по республике,both,arrive,341
2014,56,Всего по республике,female,arrive,175
2014,56,Всего по республике,male,arrive,166
2014,57,Всего по республике,both,arrive,270
2014,57,Всего по республике,female,arrive,149
2014,57,Всего по республике,male,arrive,121
2014,58,Всего по республике,both,arrive,270
2014,58,Всего по республике,female,arrive,152
2014,58,Всего по республике,male,arrive,118
2014,59,Всего по республике,both,arrive,261
2014,59,Всего по республике,female,arrive,150
2014,59,Всего по республике,male,arrive,111
2014,60,Всего по республике,both,arrive,249
2014,60,Всего по республике,female,arrive,151
2014,60,Всего по республике,male,arrive,98
2014,61,Всего по республике,both,arrive,235
2014,61,Всего по республике,female,arrive,137
2014,61,Всего по республике,male,arrive,98
2014,62,Всего по республике,both,arrive,226
2014,62,Всего по республике,female,arrive,125
2014,62,Всего по республике,male,arrive,101
2014,63,Всего по республике,both,arrive,208
2014,63,Всего по республике,female,arrive,121
2014,63,Всего по республике,male,arrive,87
2014,64,Всего по республике,both,arrive,201
2014,64,Всего по республике,female,arrive,106
2014,64,Всего по республике,male,arrive,95
2014,65,Всего по республике,both,arrive,169
2014,65,Всего по республике,female,arrive,97
2014,65,Всего по республике,male,arrive,72
2014,66,Всего по республике,both,arrive,119
2014,66,Всего по республике,female,arrive,68
2014,66,Всего по республике,male,arrive,51
2014,67,Всего по республике,both,arrive,128
2014,67,Всего по республике,female,arrive,75
2014,67,Всего по республике,male,arrive,53
